date,index,close,open,high,low,volume,anger,disgust,joy,sadness,fear,su
2015-03-10,3286.068,-0.4900,-0.4034,0.2273,-0.7665,285817575.0,3902.0,4146.0,5952.0,697.0,4600.0,19743.0
2015-03-11,3290.9,0.1500,0.1073,1.1864,-0.2312,282985525.0,4508.0,4954.0,6877.0,801.0,5462.0,22991.0
2015-03-12,3349.323,1.7700,0.7266,2.1014,0.2913,357295100.0,4059.0,4497.0,6941.0,853.0,5359.0,22205.0
2015-03-13,3372.911,0.7000,0.3035,1.2520,0.0844,328410150.0,3841.0,4299.0,6770.0,763.0,5451.0,21550.0
2015-03-16,3449.305,2.2700,0.5410,2.2649,0.1238,399132425.0,4312.0,4568.0,7938.0,997.0,5397.0,23807.0
2015-03-17,3502.847,1.5500,0.5885,1.5892,0.3012,520939500.0,4786.0,5759.0,8653.0,1119.0,5851.0,26854.0
2015-03-18,3577.301,2.1300,0.2185,2.1358,0.0287,545217150.0,4712.0,5798.0,8868.0,1348.0,6644.0,28137.0
2015-03-19,3582.271,0.1400,-0.0358,0.6536,-0.8514,537346600.0,4460.0,6198.0,8586.0,1177.0,6342.0,27382.0
2015-03-20,3617.318,0.9800,0.1344,1.3976,-0.3599,516661650.0,4560.0,5820.0,9241.0,1410.0,7156.0,28954.0
2015-03-23,3687.728,1.9500,0.6299,1.9609,0.5022,536062850.0,4163.0,4983.0,8972.0,1243.0,6506.0,26701.0
2015-03-24,3691.41,0.1000,0.1313,0.7632,-2.3600,639554650.0,5562.0,5731.0,9614.0,1438.0,7289.0,30470.0
2015-03-25,3660.727,-0.8300,-0.2833,0.0472,-1.5401,521886350.0,5051.0,6012.0,9330.0,1349.0,7031.0,29492.0
2015-03-26,3682.095,0.5800,-0.5131,1.2727,-1.2488,488647200.0,5118.0,5573.0,9034.0,1621.0,7099.0,29165.0
2015-03-27,3691.096,0.2400,0.1097,0.7708,-0.6861,408945175.0,4424.0,4972.0,8622.0,1116.0,5966.0,25671.0
2015-03-30,3786.568,2.5900,0.5287,2.8403,0.5287,564702350.0,5256.0,5882.0,9930.0,1378.0,7057.0,30283.0
2015-03-31,3747.899,-1.0200,0.9618,1.2940,-1.3079,561676050.0,4946.0,5433.0,9406.0,1346.0,7013.0,28895.0
2015-04-01,3810.294,1.6700,0.0118,1.8459,-0.1517,447458300.0,4206.0,4961.0,8615.0,1119.0,4473.0,23972.0
2015-04-02,3825.784,0.4100,0.4565,0.6602,-0.9028,479299650.0,4977.0,5799.0,10044.0,1442.0,5740.0,28690.0
2015-04-03,3863.929,1.0000,-0.5855,1.0095,-0.8775,473033300.0,4147.0,5123.0,9121.0,1305.0,5756.0,26147.0
2015-04-07,3961.378,2.5200,0.9185,2.5295,0.7194,570447550.0,3327.0,4042.0,9460.0,1547.0,7867.0,27174.0
2015-04-08,3994.811,0.8400,0.3825,0.9805,-1.4573,618085400.0,3379.0,4092.0,9159.0,1766.0,8594.0,28041.0
2015-04-09,3957.534,-0.9300,0.2833,0.5403,-2.3727,585176800.0,3348.0,3974.0,8702.0,1894.0,8117.0,27111.0
2015-04-10,4034.31,1.9400,-0.2537,2.0926,-0.7129,484283600.0,1908.0,2309.0,4984.0,1120.0,4592.0,15517.0
2015-04-13,4121.715,2.1700,0.9522,2.3241,0.5697,589814250.0,3626.0,6079.0,9605.0,1936.0,8631.0,31074.0
2015-04-14,4135.565,0.3400,0.0987,1.1313,-0.7390,610683550.0,4401.0,4929.0,9521.0,2846.0,7440.0,30772.0
2015-04-15,4084.163,-1.2400,0.0020,0.9655,-1.6094,613005800.0,3088.0,4180.0,8560.0,2056.0,7697.0,26807.0
2015-04-16,4194.823,2.7100,-0.6916,2.7213,-1.2957,551242950.0,2835.0,3761.0,8033.0,1658.0,6975.0,24467.0
2015-04-17,4287.296,2.2000,1.4280,2.9179,1.0510,701706200.0,3098.0,3985.0,9785.0,1907.0,7628.0,27995.0
2015-04-20,4217.077,-1.6400,0.3279,1.6025,-2.2535,857132800.0,4472.0,4356.0,9272.0,2334.0,9965.0,31872.0
2015-04-21,4293.623,1.8100,-0.1160,1.8330,-0.6760,634470650.0,3659.0,4286.0,9380.0,2037.0,8927.0,29566.0
2015-04-22,4398.494,2.4400,0.2556,2.4821,0.1008,680305100.0,4146.0,4857.0,11573.0,2299.0,9110.0,33872.0
2015-04-23,4414.508,0.3600,0.3636,1.0439,-0.9014,667344650.0,4828.0,5134.0,12331.0,2554.0,10076.0,37481.0
2015-04-24,4393.686,-0.4700,-1.3265,0.0423,-2.1835,628555000.0,4300.0,4967.0,10977.0,2160.0,9367.0,33298.0
2015-04-27,4527.396,3.0400,1.0980,3.0965,1.0980,671088500.0,4214.0,4903.0,12318.0,2122.0,9384.0,34419.0
2015-04-28,4476.215,-1.1300,0.0053,0.9938,-2.0871,767676400.0,3954.0,4942.0,11062.0,2776.0,10032.0,34145.0
2015-04-29,4476.62,0.0100,-0.6724,0.5301,-1.7331,519834200.0,3976.0,4798.0,11130.0,2156.0,9210.0,32493.0
2015-04-30,4441.655,-0.7800,0.1428,0.6863,-0.7945,526728000.0,4118.0,4831.0,11118.0,1947.0,7553.0,30613.0
2015-05-04,4480.464,0.8700,-0.0070,1.0337,-1.2209,494173400.0,3728.0,4203.0,10265.0,1469.0,8675.0,29352.0
2015-05-05,4298.706,-4.0600,-0.0137,0.1875,-4.4243,572858600.0,4555.0,5271.0,11343.0,2990.0,13136.0,38893.0
2015-05-06,4229.266,-1.6100,0.3009,1.8063,-2.5900,481733000.0,4996.0,5138.0,12024.0,3207.0,13334.0,40352.0
2015-05-07,4112.214,-2.7700,-0.7417,-0.3665,-2.8671,394566650.0,5268.0,4749.0,12802.0,4309.0,13789.0,42911.0
